,ID,Salary,DOJ,DOL,Designation,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
train,203097,420000.00,6/1/12 0:00,present,senior quality engineer,Bangalore,f,2/19/90 0:00,84.3,"board ofsecondary education,ap",2007,95.8,"board of intermediate education,ap",1141,2,B.Tech/B.E.,computer engineering,78,1141,0,Andhra Pradesh,2011,515,585,525,0.6359787565,445,-1,-1,-1,-1,-1,-1,0.9737,0.8128,0.5269,1.3549,-0.4455
train,579905,500000.00,9/1/13 0:00,present,assistant manager,Indore,m,10/4/89 0:00,85.4,cbse,2007,85,cbse,5807,2,B.Tech/B.E.,electronics and communication engineering,70.06,5807,0,Madhya Pradesh,2012,695,610,780,0.960603252,-1,466,-1,-1,-1,-1,-1,-0.7335,0.3789,1.2396,-0.1076,0.8637
train,810601,325000.00,6/1/14 0:00,present,systems engineer,Chennai,f,8/3/92 0:00,85,cbse,2010,68.2,cbse,64,2,B.Tech/B.E.,information technology,70,64,0,Uttar Pradesh,2014,615,545,370,0.4508765845,395,-1,-1,-1,-1,-1,-1,0.2718,1.7109,0.1637,-0.8682,0.6721
train,267447,1100000.00,7/1/11 0:00,present,senior software engineer,Gurgaon,m,12/5/89 0:00,85.6,cbse,2007,83.6,cbse,6920,1,B.Tech/B.E.,computer engineering,74.64,6920,1,Delhi,2011,635,585,625,0.9743961125,615,-1,-1,-1,-1,-1,-1,0.0464,0.3448,-0.344,-0.4078,-0.9194
train,343523,200000.00,3/1/14 0:00,3/1/15 0:00,get,Manesar,m,2/27/91 0:00,78,cbse,2008,76.8,cbse,11368,2,B.Tech/B.E.,electronics and communication engineering,73.9,11368,0,Uttar Pradesh,2012,545,625,465,0.124502074,-1,233,-1,-1,-1,-1,-1,-0.881,-0.2793,-1.0697,0.09163,-0.1295
train,1027655,300000.00,6/1/14 0:00,present,system engineer,Hyderabad,m,7/2/92 0:00,89.92,state board,2010,87,state board,5086,2,B.Tech/B.E.,electronics and communication engineering,76.32,5086,0,Karnataka,2014,560,555,620,-1,645,-1,407,-1,-1,-1,-1,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608
train,947847,300000.00,8/1/14 0:00,5/1/15 0:00,java software engineer,Banglore,m,2/1/93 0:00,86.08,state board,2010,67.5,state board,314,2,B.Tech/B.E.,computer science & engineering,72.98,314,1,Karnataka,2014,590,435,380,0.3565364877,405,-1,346,-1,-1,-1,-1,1.7081,-0.1054,-1.0379,-2.0092,-1.0872
train,912934,400000.00,7/1/14 0:00,7/1/15 0:00,mechanical engineer,Bangalore,m,5/27/92 0:00,92,cbse,2010,91,cbse,1757,1,B.Tech/B.E.,mechanical engineering,8.58,1757,0,Tamil Nadu,2016,545,555,590,0.8295845998,-1,-1,-1,469,-1,-1,-1,-0.0154,1.2114,0.01,0.1459,1.247
train,552574,600000.00,7/1/13 0:00,present,electrical engineer,Noida,m,9/17/91 0:00,90,cbse,2009,91.2,cbse,13,1,B.Tech/B.E.,electronics and electrical engineering,85.03,13,1,Delhi,2013,615,670,530,0.6944793277,735,366,-1,-1,-1,-1,-1,-0.159,0.5454,-0.6048,-0.7415,-0.2859
train,1203363,230000.00,7/1/14 0:00,present,project engineer,Kolkata,m,6/13/93 0:00,77,cbse,2010,72.2,cbse,8640,2,B.Tech/B.E.,electronics and communication engineering,78,8640,1,West Bengal,2014,605,565,545,0.4935963873,385,324,-1,-1,-1,-1,-1,-1.308,0.5454,-0.9122,0.9066,0.0973
train,87291,600000.00,4/1/11 0:00,4/1/15 0:00,senior php developer,Bangalore,m,6/24/89 0:00,88.6,mp board bhopal,2006,83.7,mp board,403,2,B.Tech/B.E.,computer engineering,74.9,403,0,Madhya Pradesh,2010,565,455,565,0.7656735812,485,-1,-1,-1,-1,-1,-1,0.0464,0.8128,0.0914,0.1798,0.0284
train,190393,450000.00,8/1/11 0:00,10/1/14 0:00,senior systems engineer,Pune,m,2/10/90 0:00,81,cbse,2007,86,cbse,4441,1,B.Tech/B.E.,information technology,72.29,4441,0,Madhya Pradesh,2011,495,605,715,0.9682374959,605,-1,-1,-1,-1,-1,-1,-2.272,1.1248,0.8171,-0.4078,-0.4455
train,606655,270000.00,12/1/13 0:00,present,quality assurance engineer,Pune,m,11/21/90 0:00,83.6,state board,2008,69.83,state board,2665,2,B.Tech/B.E.,electronics & telecommunications,60,2665,0,Maharashtra,2013,380,580,470,0.2294817549,-1,266,-1,-1,-1,206,-1,0.1282,0.5454,-0.7585,-0.995,0.8637
train,431800,200000.00,1/1/14 0:00,present,qa analyst,Gurgaon,m,10/23/90 0:00,60.8,cbse,2008,62.4,cbse,5232,2,B.Tech/B.E.,electronics and communication engineering,60,5232,0,Haryana,2012,495,425,645,0.538386893,385,333,-1,-1,-1,-1,-1,0.3555,0.0328,-0.598,-0.2902,-1.2354
train,1279958,300000.00,7/1/13 0:00,present,java software engineer,Bangalore,m,7/2/92 0:00,81.2,state board,2008,79.9,state board,64,2,B.Tech/B.E.,instrumentation and control engineering,67.67,64,0,Uttar Pradesh,2013,395,565,645,-1,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721
train,536517,350000.00,8/1/13 0:00,present,network engineer,-1,f,1/17/90 0:00,69.54,icse,2008,64.43,isc,4501,2,B.Tech/B.E.,information technology,63,4501,0,Uttar Pradesh,2012,485,520,355,0.3084005829,355,-1,-1,-1,-1,-1,-1,1.7465,1.9048,0.672,-0.2902,1.2528
train,1087625,325000.00,9/1/14 0:00,present,product development engineer,Noida,m,6/10/92 0:00,85.8,cbse,2010,74.8,cbse,13473,2,B.Tech/B.E.,electronics and communication engineering,64.8,13473,0,Uttar Pradesh,2014,685,530,620,-1,515,-1,-1,-1,-1,-1,-1,1.1336,1.0449,0.7785,-0.6147,-0.8608
train,874596,250000.00,8/1/13 0:00,9/1/14 0:00,associate software developer,Gurgaon,m,9/28/87 0:00,60.8,cbse,2006,66.66,cbse,41,2,MCA,computer application,74.74,41,1,Delhi,2013,465,585,515,0.9113952784,545,-1,500,-1,-1,-1,-1,0.8463,1.0449,-1.0659,-1.6289,0.6721
train,711342,120000.00,1/1/14 0:00,6/1/14 0:00,data entry operator,Gurgaon,m,12/7/92 0:00,65,state board,2008,64.8,icse,184,2,B.Tech/B.E.,computer science & engineering,69.54,184,0,Uttar Pradesh,2013,465,495,515,0.5632678237,425,-1,-1,-1,-1,-1,-1,-0.159,0.3789,1.3933,-0.2344,1.4386
